model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,experiment
RandomForest,0.8268452942673448,0.19024138443432442,0.8458221292245631,0.1808329906193896,0.8324225399112587,0.18830348372643452,0.8092107747052377,0.22407795284741117,first_5_parts_plus_light
SVM,0.8879632515829882,0.11401117864441698,0.891269644164755,0.1333300872322022,0.8938619888742559,0.11151956322724767,0.8795203955970272,0.13359733219625947,first_5_parts_plus_light
XGBoost,0.8260106072991239,0.13127100344012738,0.8319026025881732,0.1420830244451103,0.8350724112368864,0.12431723465887505,0.8067920257765887,0.15963722379072728,first_5_parts_plus_light
RandomForest,0.8363385301244887,0.17090023047283015,0.8500923434253534,0.17280899987313172,0.8410320773552198,0.1686851961607083,0.8214085050427412,0.20031627726093149,first_5_parts_plus_mic
SVM,0.9031979207356409,0.11562627519124016,0.906042962226923,0.13441317473756909,0.909233109466862,0.1122939003169294,0.8969717523858735,0.13434909136049253,first_5_parts_plus_mic
XGBoost,0.8239542821460261,0.13540126390797644,0.8486636935005503,0.10648219115802626,0.8326166058213624,0.13166448148844645,0.8097502100925783,0.15082508757728544,first_5_parts_plus_mic
RandomForest,0.8394707444008855,0.18492839021667945,0.8639022051395712,0.17520019605775825,0.8458974146271357,0.18315948707811203,0.8263311739860975,0.21311924267090074,first_5_parts_plus_all
SVM,0.892813623309008,0.12176853735941065,0.8926407128430439,0.13909945873067456,0.8971606009307659,0.12042502306935828,0.8823997316288923,0.14217335199656947,first_5_parts_plus_all
XGBoost,0.8613696495089115,0.13439821148116207,0.872425217620407,0.144152038850222,0.8688547308919305,0.1332347192276034,0.8472169485725772,0.15198887585104826,first_5_parts_plus_all
RandomForest,0.8530326879103656,0.13736582940241165,0.8794278222769406,0.11727211897523195,0.8627641051266415,0.13640206615321473,0.8382511011927093,0.1638089710055039,first_6_parts_plus_gps
SVM,0.8967229503442765,0.11832000920845676,0.9042650656439918,0.1341491164831893,0.9031424109450169,0.11549927509856715,0.8884673792822999,0.1368257683638326,first_6_parts_plus_gps
XGBoost,0.8519925331176494,0.15740259025490075,0.8830406976329451,0.10737027556154342,0.8603503864226223,0.15503198148367683,0.8380037114446223,0.1696142481696459,first_6_parts_plus_gps
RandomForest,0.8334978003511121,0.15399609721041302,0.8486278416301858,0.16396466039204005,0.8419395127461353,0.15204360529968314,0.8187462115304388,0.17505624657082666,first_6_parts_plus_light
SVM,0.8864479637283175,0.11159842363390374,0.8916002228681683,0.1308220186717341,0.8927377388470512,0.10899468967881315,0.878260282719405,0.12968659642903455,first_6_parts_plus_light
XGBoost,0.8384668925338564,0.140442140526065,0.8350174412963984,0.15896139136532397,0.8479308169153488,0.13668321379060855,0.8206133490388496,0.16363315806336548,first_6_parts_plus_light
RandomForest,0.8402699693727502,0.14413981623822913,0.8518429687270624,0.16296571779439079,0.8487723074917491,0.14192763993607543,0.8252818810793267,0.16835804963341472,first_6_parts_plus_mic
SVM,0.899671773510082,0.11458223040604387,0.9042810189794385,0.13312554429999418,0.9062754414445249,0.1114652985256065,0.8936264039395015,0.13230855941300612,first_6_parts_plus_mic
XGBoost,0.849016402464703,0.13213484449963264,0.8462039042128516,0.1481488046691953,0.8564968986725222,0.1299737085736343,0.8344534845585259,0.14848796106611095,first_6_parts_plus_mic
RandomForest,0.8450581236127689,0.1452088298736171,0.8599651385300692,0.1566368156800973,0.8524642414626931,0.14466375816432442,0.8331717252905305,0.16479945915125377,first_6_parts_plus_all
SVM,0.8959100462660189,0.11500828647120553,0.9014136555556618,0.13207950412215252,0.9014170181904819,0.11334182909218374,0.8870938794277372,0.13469183063746673,first_6_parts_plus_all
XGBoost,0.8663283424137347,0.13235481685648565,0.8750428036021238,0.1438386578775682,0.8741830743608848,0.13049121290169052,0.8527850383453683,0.14912409335224536,first_6_parts_plus_all
